iter	MultiClass
0	1.342400999
1	1.306355019
2	1.277506782
3	1.253671491
4	1.233193172
5	1.215606174
6	1.200490909
7	1.187656402
8	1.177413273
9	1.168392399
10	1.159810619
11	1.152399301
12	1.145092329
13	1.138702855
14	1.133456191
15	1.128540522
16	1.124914158
17	1.121487047
18	1.117493782
19	1.114737957
20	1.111025342
21	1.106227286
22	1.102951439
23	1.100490763
24	1.098357346
25	1.095560433
26	1.092502838
27	1.090271195
28	1.087089034
29	1.08497765
30	1.082612571
31	1.080688791
32	1.078587194
33	1.075849371
34	1.073731864
35	1.071663579
36	1.07007291
37	1.068027907
38	1.066290591
39	1.065241299
40	1.064106958
41	1.061212077
42	1.058722955
43	1.056799908
44	1.054365619
45	1.051705383
46	1.049388189
47	1.047781107
48	1.0464028
49	1.044875355
50	1.043604802
51	1.041550824
52	1.039239757
53	1.037398819
54	1.035645043
55	1.034596935
56	1.033389913
57	1.032327527
58	1.030453522
59	1.029184447
60	1.027312406
61	1.025043695
62	1.023645751
63	1.022749806
64	1.021649755
65	1.019521129
66	1.017936277
67	1.016515432
68	1.014415616
69	1.011976558
70	1.011137807
71	1.009984742
72	1.008060571
73	1.007224901
74	1.005303884
75	1.004048964
76	1.002525502
77	1.001373551
78	0.9999939217
79	0.9986978253
80	0.9973488936
81	0.9964774588
82	0.9950524257
83	0.9927032521
84	0.9914161649
85	0.9897978229
86	0.988161862
87	0.9868733789
88	0.9860226026
89	0.9848675134
90	0.9841968195
91	0.9831393662
92	0.9813477331
93	0.9796412748
94	0.9781325188
95	0.9771002331
96	0.9753155066
97	0.9742534209
98	0.9729757036
99	0.9720408296
100	0.9700843642
101	0.9684221606
102	0.9674509114
103	0.9654832609
104	0.9641013709
105	0.961603649
106	0.9593979056
107	0.9579373249
108	0.9566512312
109	0.9547209431
110	0.9536226302
111	0.9518053671
112	0.9500377641
113	0.9491957073
114	0.9482319572
115	0.947314275
116	0.9457138684
117	0.9447721613
118	0.9436416773
119	0.9425720795
120	0.9415427802
121	0.9400495041
122	0.9387811893
123	0.9377876187
124	0.9366693094
125	0.9351369877
126	0.9334760555
127	0.9323417064
128	0.930860434
129	0.929689451
130	0.9285112172
131	0.927429125
132	0.9257016507
133	0.9242458105
134	0.9221958439
135	0.9210465042
136	0.9188770935
137	0.9173220337
138	0.9155426378
139	0.914220627
140	0.9120302994
141	0.9108684265
142	0.9094551876
143	0.907760993
144	0.9056534294
145	0.9038847399
146	0.9031462364
147	0.9020516437
148	0.9011255976
149	0.9001506463
150	0.8978979363
151	0.8973513793
152	0.8961098531
153	0.8942988353
154	0.8935748305
155	0.8923258075
156	0.8903592626
157	0.889203771
158	0.8880482061
159	0.8859555953
160	0.8840960062
161	0.8830553285
162	0.8820951763
163	0.8801069877
164	0.878498476
165	0.8769485789
166	0.8760569357
167	0.8744330409
168	0.8735817426
169	0.8727435603
170	0.8716809183
171	0.8710517607
172	0.8697074857
173	0.8682830907
174	0.8677471558
175	0.8670390564
176	0.8654952233
177	0.8644235161
178	0.8623697453
179	0.8607713163
180	0.8596816736
181	0.8585121513
182	0.8581393321
183	0.8572140016
184	0.8557210534
185	0.8546668445
186	0.8529635529
187	0.8518652383
188	0.8505424722
189	0.8495885378
190	0.847881347
191	0.8467918474
192	0.8444432911
193	0.843299116
194	0.8418541078
195	0.840846236
196	0.8400714828
197	0.8394340992
198	0.8389701105
199	0.8377393826
200	0.836545649
201	0.8352859942
202	0.8344080348
203	0.8337715774
204	0.8324062927
205	0.8315392925
206	0.8304849313
207	0.8286493944
208	0.8282770263
209	0.8273553442
210	0.8267730344
211	0.825358498
212	0.8245700777
213	0.8232062661
214	0.8217970156
215	0.821429126
216	0.8201179766
217	0.8191100025
218	0.8184902853
219	0.8164818164
220	0.815883813
221	0.8151163025
222	0.8134636252
223	0.8121611639
224	0.8109507833
225	0.8102265334
226	0.8090743762
227	0.8077984038
228	0.8069528516
229	0.8056872617
230	0.8050622355
231	0.8039379128
232	0.8030480969
233	0.8016566548
234	0.8003481505
235	0.7990077901
236	0.7978715893
237	0.7970933399
238	0.7963042481
239	0.7953345203
240	0.7940544718
241	0.7934840093
242	0.7925339477
243	0.7918749298
244	0.7911538131
245	0.789682358
246	0.7888967033
247	0.7882514017
248	0.7870136761
249	0.7863722585
250	0.7854371973
251	0.7849370315
252	0.7836097531
253	0.7821879727
254	0.7806739858
255	0.7795106006
256	0.7788675781
257	0.7781320923
258	0.7775002009
259	0.7763981914
260	0.775288517
261	0.7747821783
262	0.7739036984
263	0.7732636371
264	0.7722804317
265	0.7718880512
266	0.7710780242
267	0.7706152966
268	0.76952677
269	0.7691426227
270	0.7682039539
271	0.7673725592
272	0.7667734725
273	0.7662061883
274	0.7656112109
275	0.7647367607
276	0.7641206239
277	0.7629932734
278	0.7618430105
279	0.7613413795
280	0.7605086701
281	0.7592643678
282	0.7584870358
283	0.7574652624
284	0.7565651641
285	0.7557550449
286	0.7546060534
287	0.7533442849
288	0.752816977
289	0.7521938601
290	0.7514848306
291	0.7506502048
292	0.7501368144
293	0.7487827281
294	0.7475413708
295	0.7461517894
296	0.7448687419
297	0.7440565788
298	0.7434284615
299	0.7425521146
300	0.7415555353
301	0.7404968973
302	0.7396846601
303	0.7389369696
304	0.7382681992
305	0.7376675494
306	0.7365362215
307	0.735679231
308	0.7347269288
309	0.7337866445
310	0.7330469579
311	0.7318543385
312	0.7312340584
313	0.7301091379
314	0.7294534318
315	0.7288398106
316	0.7278904977
317	0.7269748727
318	0.7257739654
319	0.7249955204
320	0.7245116569
321	0.7241558844
322	0.7234803168
323	0.7228662544
324	0.7223580344
325	0.7219774805
326	0.7213791069
327	0.7206252047
328	0.72006914
329	0.7189240712
330	0.7181553095
331	0.7169624954
332	0.7166470046
333	0.7156579717
334	0.714748429
335	0.71406713
336	0.7127621365
337	0.7117764498
338	0.7109525306
339	0.7104446498
340	0.7099679931
341	0.7086652
342	0.7075085977
343	0.7066771122
344	0.706455396
345	0.7059295311
346	0.7054465523
347	0.7042947934
348	0.7036528515
349	0.7028737346
350	0.701857534
351	0.7010961064
352	0.7004378543
353	0.6995286156
354	0.6990058086
355	0.6984065185
356	0.69792265
357	0.6973343972
358	0.6963412658
359	0.695111515
360	0.6938687453
361	0.6930453154
362	0.692119564
363	0.6916951568
364	0.6908205052
365	0.6903270739
366	0.6899027964
367	0.6887473365
368	0.6875996798
369	0.6860884656
370	0.6851159201
371	0.6845677171
372	0.6838741008
373	0.6833348887
374	0.6823971471
375	0.6815792942
376	0.6811506268
377	0.6803790322
378	0.6796612152
379	0.6789819237
380	0.6786184692
381	0.6774874159
382	0.6768894065
383	0.6757076979
384	0.6746562346
385	0.6739775444
386	0.6733780853
387	0.6727431717
388	0.6725427862
389	0.6721525747
390	0.6716868154
391	0.6712979153
392	0.6708191098
393	0.670200083
394	0.6696943157
395	0.6692481007
396	0.6683195267
397	0.6672337709
398	0.6669116999
399	0.6659850079
400	0.6652932328
401	0.6643726286
402	0.6640304598
403	0.6630159232
404	0.6626328795
405	0.6620306311
406	0.6613769248
407	0.661056858
408	0.6603909014
409	0.6597213158
410	0.658603773
411	0.6580613285
412	0.657544681
413	0.6568790301
414	0.6561358358
415	0.6553772863
416	0.654519526
417	0.6543134265
418	0.6539394484
419	0.6534926429
420	0.6525556928
421	0.6521601901
422	0.6514786602
423	0.6506716873
424	0.6502642075
425	0.6494295599
426	0.6486131743
427	0.6482858091
428	0.6475372166
429	0.6465221177
430	0.6457533534
431	0.6454970771
432	0.6447022359
433	0.6439561902
434	0.642677882
435	0.641922173
436	0.6411288697
