iter	Passed	Remaining
0	11	11243
1	19	9495
2	27	9024
3	34	8534
4	41	8339
5	48	8025
6	55	7872
7	62	7730
8	68	7568
9	74	7410
10	81	7316
11	88	7276
12	95	7250
13	101	7179
14	108	7111
15	115	7104
16	121	7042
17	128	6986
18	134	6924
19	140	6908
20	147	6884
21	155	6892
22	162	6904
23	169	6879
24	175	6859
25	182	6825
26	188	6807
27	195	6782
28	201	6754
29	208	6733
30	214	6713
31	220	6680
32	227	6662
33	234	6649
34	240	6632
35	247	6617
36	253	6591
37	259	6578
38	266	6556
39	272	6538
40	277	6501
41	284	6482
42	290	6457
43	296	6438
44	302	6426
45	310	6438
46	317	6436
47	324	6432
48	331	6433
49	337	6417
50	344	6402
51	350	6383
52	356	6368
53	362	6358
54	369	6345
55	375	6330
56	382	6321
57	388	6304
58	395	6309
59	402	6299
60	408	6289
61	414	6277
62	421	6267
63	427	6248
64	434	6247
65	440	6238
66	448	6247
67	455	6245
68	462	6239
69	469	6234
70	476	6240
71	483	6233
72	490	6226
73	496	6210
74	502	6197
75	509	6194
76	515	6181
77	521	6170
78	528	6158
79	534	6146
80	541	6143
81	547	6131
82	554	6127
83	561	6122
84	568	6115
85	574	6107
86	581	6107
87	588	6102
88	595	6096
89	602	6093
90	609	6084
91	615	6079
92	623	6083
93	632	6096
94	640	6100
95	647	6096
96	654	6092
97	661	6086
98	668	6085
99	676	6086
100	683	6080
101	690	6079
102	697	6072
103	704	6067
104	711	6062
105	718	6063
106	725	6054
107	732	6048
108	738	6036
109	745	6030
110	751	6021
111	758	6015
112	765	6010
113	771	5999
114	777	5986
115	784	5975
116	790	5964
117	796	5954
118	802	5943
119	809	5934
120	815	5924
121	822	5916
122	828	5906
123	834	5894
124	840	5885
125	848	5885
126	855	5878
127	861	5869
128	868	5864
129	875	5857
130	881	5848
131	887	5838
132	895	5834
133	902	5831
134	910	5831
135	916	5821
136	923	5819
137	930	5810
138	937	5804
139	944	5800
140	951	5797
141	958	5791
142	965	5783
143	971	5775
144	978	5771
145	986	5767
146	992	5759
147	998	5750
148	1005	5741
149	1011	5733
150	1018	5727
151	1024	5717
152	1031	5712
153	1038	5706
154	1045	5698
155	1051	5689
156	1058	5685
157	1065	5676
158	1071	5669
159	1078	5661
160	1085	5659
161	1092	5648
162	1098	5638
163	1104	5632
164	1111	5626
165	1119	5622
166	1125	5611
167	1132	5608
168	1139	5600
169	1145	5592
170	1152	5587
171	1160	5584
172	1166	5576
173	1172	5567
174	1179	5560
175	1186	5552
176	1193	5550
177	1200	5545
178	1207	5540
179	1214	5532
180	1220	5524
181	1226	5514
182	1233	5505
183	1239	5496
184	1245	5488
185	1252	5479
186	1259	5475
187	1265	5467
188	1273	5464
189	1280	5457
190	1287	5451
191	1294	5447
192	1301	5443
193	1308	5435
194	1315	5429
195	1322	5423
196	1329	5417
197	1335	5410
198	1342	5401
199	1348	5393
200	1354	5385
201	1361	5379
202	1368	5373
203	1374	5364
204	1382	5360
205	1388	5352
206	1396	5349
207	1403	5345
208	1410	5336
209	1416	5327
210	1422	5318
211	1429	5313
212	1436	5305
213	1442	5298
214	1449	5290
215	1455	5282
216	1462	5276
217	1468	5268
218	1474	5259
219	1482	5255
220	1488	5247
221	1496	5243
222	1503	5238
223	1509	5230
224	1516	5224
225	1523	5216
226	1530	5211
227	1537	5207
228	1544	5200
229	1551	5193
230	1558	5186
231	1564	5180
232	1571	5172
233	1577	5165
234	1584	5158
235	1591	5152
236	1598	5146
237	1604	5137
238	1610	5128
239	1617	5123
240	1625	5117
241	1631	5110
242	1638	5104
243	1644	5096
244	1651	5088
245	1658	5084
246	1665	5076
247	1672	5070
248	1678	5063
249	1686	5059
250	1693	5053
251	1699	5045
252	1707	5040
253	1714	5035
254	1722	5031
255	1729	5026
256	1735	5018
257	1743	5013
258	1750	5006
259	1757	5000
260	1763	4994
261	1770	4985
262	1777	4981
263	1785	4977
264	1792	4971
265	1799	4965
266	1805	4957
267	1813	4952
268	1821	4948
269	1827	4940
270	1834	4935
271	1842	4930
272	1848	4923
273	1854	4914
274	1862	4909
275	1869	4904
276	1876	4897
277	1883	4891
278	1890	4885
279	1897	4880
280	1904	4874
281	1912	4868
282	1919	4863
283	1926	4856
284	1933	4850
285	1940	4843
286	1946	4836
287	1954	4831
288	1960	4823
289	1969	4820
290	1975	4813
291	1983	4808
292	1990	4802
293	1997	4796
294	2004	4790
295	2011	4784
296	2019	4779
297	2025	4771
298	2032	4766
299	2039	4759
300	2047	4754
301	2054	4748
302	2061	4741
303	2068	4735
304	2075	4729
305	2082	4723
306	2089	4716
307	2095	4708
308	2102	4701
309	2109	4695
310	2116	4688
311	2123	4682
312	2130	4675
313	2137	4669
314	2144	4662
315	2150	4655
316	2157	4648
317	2164	4643
318	2172	4637
319	2178	4629
320	2184	4621
321	2191	4614
322	2198	4607
323	2204	4599
324	2210	4591
325	2217	4583
326	2224	4577
327	2231	4572
328	2238	4565
329	2245	4559
330	2253	4554
331	2259	4547
332	2266	4540
333	2275	4536
334	2282	4530
335	2288	4522
336	2295	4516
337	2302	4510
338	2309	4503
339	2316	4496
340	2322	4489
341	2330	4483
342	2338	4479
343	2345	4473
344	2352	4466
345	2360	4461
346	2366	4453
347	2373	4446
348	2379	4439
349	2386	4432
350	2393	4424
351	2400	4418
352	2406	4411
353	2414	4405
354	2420	4397
355	2427	4390
356	2434	4384
357	2440	4376
358	2447	4370
359	2455	4365
360	2462	4359
361	2469	4351
362	2476	4345
363	2483	4338
364	2490	4333
365	2498	4327
366	2504	4319
367	2512	4314
368	2519	4307
369	2526	4301
370	2533	4294
371	2539	4287
372	2546	4280
373	2552	4272
374	2559	4265
375	2566	4258
376	2572	4251
377	2579	4245
378	2586	4237
379	2593	4232
380	2600	4224
381	2607	4218
382	2614	4211
383	2621	4204
384	2628	4198
385	2635	4191
386	2643	4187
387	2650	4180
388	2657	4174
389	2664	4167
390	2670	4160
391	2677	4153
392	2684	4145
393	2690	4138
394	2698	4133
395	2706	4127
396	2714	4122
397	2721	4116
398	2728	4110
399	2736	4105
400	2753	4112
401	2761	4107
402	2767	4100
403	2774	4093
404	2781	4086
405	2789	4080
406	2796	4073
407	2802	4066
408	2809	4060
409	2816	4053
410	2824	4048
411	2831	4040
412	2837	4033
413	2844	4026
414	2852	4021
415	2860	4015
416	2867	4009
417	2873	4001
418	2880	3994
419	2887	3987
420	2894	3981
421	2901	3974
422	2908	3967
423	2915	3960
424	2922	3953
425	2929	3947
426	2936	3939
427	2942	3932
428	2949	3925
429	2956	3919
430	2963	3911
431	2969	3904
432	2976	3898
433	2983	3890
434	2989	3883
435	2997	3877
436	3004	3870
437	3011	3864
438	3018	3857
439	3025	3850
440	3031	3843
441	3039	3836
442	3045	3829
443	3053	3823
444	3060	3816
445	3066	3809
446	3073	3802
447	3080	3795
448	3087	3788
449	3094	3781
450	3100	3773
451	3107	3767
452	3113	3759
453	3121	3753
454	3128	3747
455	3135	3740
456	3142	3733
457	3149	3726
458	3155	3719
459	3163	3713
460	3169	3705
461	3176	3699
462	3182	3691
463	3190	3685
464	3197	3678
465	3204	3672
466	3211	3665
467	3218	3658
468	3225	3651
469	3232	3644
470	3238	3637
471	3245	3630
472	3252	3623
473	3259	3616
474	3266	3610
475	3272	3602
476	3280	3597
477	3287	3589
478	3294	3583
479	3301	3576
480	3309	3570
481	3316	3563
482	3322	3556
483	3329	3550
484	3337	3543
485	3343	3536
486	3350	3529
487	3370	3536
488	3377	3529
489	3383	3522
490	3392	3516
491	3399	3509
492	3406	3502
493	3413	3496
494	3420	3489
495	3427	3482
496	3434	3476
497	3442	3469
498	3448	3462
499	3455	3455
500	3462	3449
501	3470	3442
502	3477	3436
503	3484	3429
504	3492	3423
505	3500	3417
506	3508	3411
507	3516	3405
508	3522	3398
509	3529	3391
510	3536	3384
511	3544	3378
512	3551	3371
513	3558	3364
514	3565	3357
515	3572	3350
516	3580	3344
517	3587	3337
518	3593	3330
519	3600	3323
520	3606	3316
521	3613	3308
522	3619	3301
523	3626	3294
524	3633	3287
525	3639	3279
526	3646	3273
527	3654	3266
528	3661	3259
529	3667	3252
530	3675	3246
531	3683	3240
532	3689	3233
533	3698	3227
534	3704	3220
535	3712	3213
536	3719	3206
537	3727	3200
538	3734	3194
539	3741	3187
540	3748	3180
541	3755	3173
542	3761	3165
543	3768	3158
544	3775	3151
545	3782	3145
546	3789	3137
547	3796	3131
548	3802	3124
549	3809	3117
550	3816	3110
551	3823	3103
552	3830	3096
553	3838	3089
554	3845	3082
555	3852	3076
556	3858	3068
557	3865	3062
558	3872	3055
559	3879	3048
560	3886	3041
561	3893	3034
562	3900	3027
563	3906	3020
564	3913	3013
565	3921	3006
566	3929	3000
567	3936	2994
568	3943	2986
569	3949	2979
570	3955	2971
571	3962	2965
572	3970	2958
573	3978	2952
574	3985	2945
575	3992	2938
576	3999	2931
577	4006	2925
